"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 10:04:28 UTC 2025","Wed May 28 10:04:28 UTC 2025","543","Automation","Packaging App","Ease Delivery","","","Orders",""
"failed","Wed May 28 10:04:12 UTC 2025","Wed May 28 10:04:12 UTC 2025","418","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"passed","Wed May 28 10:04:14 UTC 2025","Wed May 28 10:04:14 UTC 2025","548","Automation","Packaging App","Create Crates (Center) Expired","","","QR of Crates",""
"passed","Wed May 28 10:04:04 UTC 2025","Wed May 28 10:04:04 UTC 2025","317","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product)",""
"passed","Wed May 28 10:04:07 UTC 2025","Wed May 28 10:04:08 UTC 2025","361","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product)",""
"passed","Wed May 28 10:04:12 UTC 2025","Wed May 28 10:04:13 UTC 2025","315","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 10:04:14 UTC 2025","Wed May 28 10:04:15 UTC 2025","321","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 10:04:20 UTC 2025","Wed May 28 10:04:21 UTC 2025","742","Automation","Packaging App","Create Crates (Plant) NEW","","","Create Crate (Dynamic)",""
"failed","Wed May 28 10:04:12 UTC 2025","Wed May 28 10:04:12 UTC 2025","276","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 10:04:16 UTC 2025","Wed May 28 10:04:16 UTC 2025","296","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 10:04:08 UTC 2025","Wed May 28 10:04:08 UTC 2025","355","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 10:04:09 UTC 2025","Wed May 28 10:04:09 UTC 2025","299","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"failed","Wed May 28 10:04:16 UTC 2025","Wed May 28 10:04:16 UTC 2025","275","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 10:04:11 UTC 2025","Wed May 28 10:04:11 UTC 2025","281","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Substraction)",""
"passed","Wed May 28 10:04:21 UTC 2025","Wed May 28 10:04:21 UTC 2025","447","Automation","Packaging App","Create Crates (Plant) NEW","","","QR of Crates",""
"passed","Wed May 28 10:04:21 UTC 2025","Wed May 28 10:04:22 UTC 2025","320","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Addition)",""
"passed","Wed May 28 10:04:10 UTC 2025","Wed May 28 10:04:11 UTC 2025","548","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 10:04:23 UTC 2025","Wed May 28 10:04:23 UTC 2025","384","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"passed","Wed May 28 10:04:13 UTC 2025","Wed May 28 10:04:14 UTC 2025","533","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"passed","Wed May 28 10:04:22 UTC 2025","Wed May 28 10:04:22 UTC 2025","414","Automation","Packaging App","Profile","","","Profile",""
"passed","Wed May 28 10:04:15 UTC 2025","Wed May 28 10:04:15 UTC 2025","429","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product)",""
"passed","Wed May 28 10:04:10 UTC 2025","Wed May 28 10:04:10 UTC 2025","773","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 10:04:20 UTC 2025","Wed May 28 10:04:20 UTC 2025","290","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 10:04:18 UTC 2025","Wed May 28 10:04:18 UTC 2025","331","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"passed","Wed May 28 10:04:16 UTC 2025","Wed May 28 10:04:16 UTC 2025","314","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 10:04:23 UTC 2025","Wed May 28 10:04:27 UTC 2025","4289","Automation","Packaging App","Regular Packaging","","","Modified Customer (List API)",""
"passed","Wed May 28 10:04:19 UTC 2025","Wed May 28 10:04:20 UTC 2025","327","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Static]",""
"failed","Wed May 28 10:04:08 UTC 2025","Wed May 28 10:04:09 UTC 2025","294","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 10:04:18 UTC 2025","Wed May 28 10:04:18 UTC 2025","284","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"passed","Wed May 28 10:04:04 UTC 2025","Wed May 28 10:04:05 UTC 2025","326","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 10:04:07 UTC 2025","Wed May 28 10:04:07 UTC 2025","345","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Addition)",""
"passed","Wed May 28 10:04:11 UTC 2025","Wed May 28 10:04:12 UTC 2025","326","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Addition)",""
"failed","Wed May 28 10:04:15 UTC 2025","Wed May 28 10:04:16 UTC 2025","276","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 10:04:19 UTC 2025","Wed May 28 10:04:19 UTC 2025","326","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 10:04:14 UTC 2025","Wed May 28 10:04:14 UTC 2025","277","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Substraction)",""
"passed","Wed May 28 10:04:05 UTC 2025","Wed May 28 10:04:05 UTC 2025","336","Automation","Packaging App","Create Crates (Plant) OLD","","","Create Crate (Dynamic)",""
"passed","Wed May 28 10:04:18 UTC 2025","Wed May 28 10:04:19 UTC 2025","427","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product)",""
"passed","Wed May 28 10:04:04 UTC 2025","Wed May 28 10:04:04 UTC 2025","429","Automation","Packaging App","Token Generation","","","Verify",""
"passed","Wed May 28 10:04:19 UTC 2025","Wed May 28 10:04:19 UTC 2025","343","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) Copy",""
"passed","Wed May 28 10:04:22 UTC 2025","Wed May 28 10:04:23 UTC 2025","277","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"passed","Wed May 28 10:04:03 UTC 2025","Wed May 28 10:04:04 UTC 2025","300","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 10:04:28 UTC 2025","Wed May 28 10:04:28 UTC 2025","269","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"passed","Wed May 28 10:04:09 UTC 2025","Wed May 28 10:04:10 UTC 2025","786","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"passed","Wed May 28 10:04:22 UTC 2025","Wed May 28 10:04:22 UTC 2025","266","Automation","Packaging App","Profile","","","Product Franchise Config",""
"failed","Wed May 28 10:04:13 UTC 2025","Wed May 28 10:04:13 UTC 2025","277","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 10:04:08 UTC 2025","Wed May 28 10:04:08 UTC 2025","321","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 10:04:07 UTC 2025","Wed May 28 10:04:07 UTC 2025","276","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Substraction)",""
"passed","Wed May 28 10:04:17 UTC 2025","Wed May 28 10:04:18 UTC 2025","548","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"passed","Wed May 28 10:04:05 UTC 2025","Wed May 28 10:04:07 UTC 2025","1449","Automation","Packaging App","Create Crates (Plant) OLD","","","QR of Crates",""
"passed","Wed May 28 10:04:21 UTC 2025","Wed May 28 10:04:21 UTC 2025","277","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Substraction)",""
"passed","Wed May 28 10:04:16 UTC 2025","Wed May 28 10:04:17 UTC 2025","534","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create Crate (Dynamic)",""
"passed","Wed May 28 10:04:27 UTC 2025","Wed May 28 10:04:28 UTC 2025","252","Automation","Packaging App","Regular Packaging","","","Pack Order",""
"passed","Wed May 28 10:04:13 UTC 2025","Wed May 28 10:04:13 UTC 2025","292","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
