"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 28 08:17:02 UTC 2025","Wed May 28 08:17:02 UTC 2025","285","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product)",""
"failed","Wed May 28 08:16:58 UTC 2025","Wed May 28 08:16:58 UTC 2025","282","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"failed","Wed May 28 08:17:00 UTC 2025","Wed May 28 08:17:00 UTC 2025","291","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"failed","Wed May 28 08:17:01 UTC 2025","Wed May 28 08:17:01 UTC 2025","289","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"passed","Wed May 28 08:17:07 UTC 2025","Wed May 28 08:17:07 UTC 2025","280","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Substraction)",""
"failed","Wed May 28 08:17:05 UTC 2025","Wed May 28 08:17:06 UTC 2025","284","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 08:16:57 UTC 2025","Wed May 28 08:16:57 UTC 2025","294","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product)",""
"failed","Wed May 28 08:16:55 UTC 2025","Wed May 28 08:16:55 UTC 2025","284","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product)",""
"passed","Wed May 28 08:17:02 UTC 2025","Wed May 28 08:17:02 UTC 2025","283","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:17:08 UTC 2025","Wed May 28 08:17:08 UTC 2025","277","Automation","Packaging App","Profile","","","Profile",""
"failed","Wed May 28 08:17:04 UTC 2025","Wed May 28 08:17:04 UTC 2025","284","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create Crate (Dynamic)",""
"passed","Wed May 28 08:17:10 UTC 2025","Wed May 28 08:17:10 UTC 2025","292","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"failed","Wed May 28 08:17:00 UTC 2025","Wed May 28 08:17:00 UTC 2025","288","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 08:17:04 UTC 2025","Wed May 28 08:17:05 UTC 2025","282","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"failed","Wed May 28 08:16:57 UTC 2025","Wed May 28 08:16:57 UTC 2025","283","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 08:17:07 UTC 2025","Wed May 28 08:17:08 UTC 2025","275","Automation","Packaging App","Profile","","","Product Franchise Config",""
"passed","Wed May 28 08:16:59 UTC 2025","Wed May 28 08:17:00 UTC 2025","283","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:17:07 UTC 2025","Wed May 28 08:17:07 UTC 2025","283","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:17:04 UTC 2025","Wed May 28 08:17:04 UTC 2025","281","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"failed","Wed May 28 08:16:55 UTC 2025","Wed May 28 08:16:55 UTC 2025","284","Automation","Packaging App","Token Generation","","","Verify",""
"failed","Wed May 28 08:17:03 UTC 2025","Wed May 28 08:17:04 UTC 2025","282","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 08:17:08 UTC 2025","Wed May 28 08:17:08 UTC 2025","285","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"failed","Wed May 28 08:16:59 UTC 2025","Wed May 28 08:16:59 UTC 2025","284","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 08:17:08 UTC 2025","Wed May 28 08:17:08 UTC 2025","285","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"failed","Wed May 28 08:17:04 UTC 2025","Wed May 28 08:17:04 UTC 2025","284","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"failed","Wed May 28 08:16:54 UTC 2025","Wed May 28 08:16:55 UTC 2025","291","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 08:16:56 UTC 2025","Wed May 28 08:16:57 UTC 2025","283","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Addition)",""
"failed","Wed May 28 08:16:58 UTC 2025","Wed May 28 08:16:58 UTC 2025","298","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"passed","Wed May 28 08:16:59 UTC 2025","Wed May 28 08:16:59 UTC 2025","284","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Substraction)",""
"failed","Wed May 28 08:17:03 UTC 2025","Wed May 28 08:17:03 UTC 2025","283","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"failed","Wed May 28 08:17:01 UTC 2025","Wed May 28 08:17:01 UTC 2025","283","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
"failed","Wed May 28 08:17:02 UTC 2025","Wed May 28 08:17:03 UTC 2025","289","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) New QR Format",""
"failed","Wed May 28 08:16:58 UTC 2025","Wed May 28 08:16:59 UTC 2025","309","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 08:17:09 UTC 2025","Wed May 28 08:17:10 UTC 2025","549","Automation","Packaging App","Ease Delivery","","","Orders",""
"failed","Wed May 28 08:17:06 UTC 2025","Wed May 28 08:17:06 UTC 2025","288","Automation","Packaging App","Create Crates (Plant) NEW","","","Create Crate (Dynamic)",""
"failed","Wed May 28 08:16:55 UTC 2025","Wed May 28 08:16:55 UTC 2025","283","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 08:17:09 UTC 2025","Wed May 28 08:17:09 UTC 2025","276","Automation","Packaging App","Regular Packaging","","","Pack Order",""
