"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 09:56:05 UTC 2025","Wed May 28 09:56:06 UTC 2025","758","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"passed","Wed May 28 09:56:07 UTC 2025","Wed May 28 09:56:08 UTC 2025","263","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Substraction)",""
"passed","Wed May 28 09:56:16 UTC 2025","Wed May 28 09:56:16 UTC 2025","277","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 09:56:01 UTC 2025","Wed May 28 09:56:02 UTC 2025","311","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 09:56:07 UTC 2025","Wed May 28 09:56:07 UTC 2025","532","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 09:56:09 UTC 2025","Wed May 28 09:56:09 UTC 2025","301","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 09:56:15 UTC 2025","Wed May 28 09:56:15 UTC 2025","310","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 09:56:04 UTC 2025","Wed May 28 09:56:04 UTC 2025","352","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product)",""
"passed","Wed May 28 09:56:14 UTC 2025","Wed May 28 09:56:14 UTC 2025","263","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"passed","Wed May 28 09:56:00 UTC 2025","Wed May 28 09:56:01 UTC 2025","282","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 09:56:19 UTC 2025","Wed May 28 09:56:23 UTC 2025","4281","Automation","Packaging App","Regular Packaging","","","Modified Customer (List API)",""
"passed","Wed May 28 09:56:04 UTC 2025","Wed May 28 09:56:04 UTC 2025","339","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 09:56:24 UTC 2025","Wed May 28 09:56:24 UTC 2025","256","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"passed","Wed May 28 09:56:18 UTC 2025","Wed May 28 09:56:19 UTC 2025","265","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"passed","Wed May 28 09:56:19 UTC 2025","Wed May 28 09:56:19 UTC 2025","370","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"failed","Wed May 28 09:56:05 UTC 2025","Wed May 28 09:56:05 UTC 2025","282","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 09:56:10 UTC 2025","Wed May 28 09:56:11 UTC 2025","551","Automation","Packaging App","Create Crates (Center) Expired","","","QR of Crates",""
"passed","Wed May 28 09:56:05 UTC 2025","Wed May 28 09:56:05 UTC 2025","278","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 09:56:13 UTC 2025","Wed May 28 09:56:14 UTC 2025","530","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"passed","Wed May 28 09:56:06 UTC 2025","Wed May 28 09:56:07 UTC 2025","744","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 09:56:18 UTC 2025","Wed May 28 09:56:18 UTC 2025","391","Automation","Packaging App","Profile","","","Profile",""
"failed","Wed May 28 09:56:08 UTC 2025","Wed May 28 09:56:08 UTC 2025","372","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"passed","Wed May 28 09:56:17 UTC 2025","Wed May 28 09:56:17 UTC 2025","435","Automation","Packaging App","Create Crates (Plant) NEW","","","QR of Crates",""
"passed","Wed May 28 09:56:12 UTC 2025","Wed May 28 09:56:13 UTC 2025","282","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Multiple product) [Static]",""
