"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 11:05:03 UTC 2025","Wed May 28 11:05:04 UTC 2025","280","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:05:13 UTC 2025","Wed May 28 11:05:13 UTC 2025","451","Automation","Packaging App","Create Crates (Plant) NEW","","","QR of Crates",""
"passed","Wed May 28 11:05:08 UTC 2025","Wed May 28 11:05:08 UTC 2025","312","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:05:05 UTC 2025","Wed May 28 11:05:06 UTC 2025","522","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:05:05 UTC 2025","Wed May 28 11:05:05 UTC 2025","291","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:04:56 UTC 2025","Wed May 28 11:04:58 UTC 2025","2147","Automation","Packaging App","Create Crates (Plant) OLD","","","QR of Crates",""
"passed","Wed May 28 11:05:10 UTC 2025","Wed May 28 11:05:10 UTC 2025","342","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:05:07 UTC 2025","Wed May 28 11:05:08 UTC 2025","421","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product)",""
"passed","Wed May 28 11:05:15 UTC 2025","Wed May 28 11:05:15 UTC 2025","285","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"passed","Wed May 28 11:04:59 UTC 2025","Wed May 28 11:04:59 UTC 2025","346","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Addition)",""
"failed","Wed May 28 11:05:04 UTC 2025","Wed May 28 11:05:04 UTC 2025","409","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"passed","Wed May 28 11:05:12 UTC 2025","Wed May 28 11:05:12 UTC 2025","324","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:05:00 UTC 2025","Wed May 28 11:05:00 UTC 2025","318","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:05:05 UTC 2025","Wed May 28 11:05:05 UTC 2025","315","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:04:59 UTC 2025","Wed May 28 11:04:59 UTC 2025","365","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product)",""
"passed","Wed May 28 11:05:02 UTC 2025","Wed May 28 11:05:03 UTC 2025","798","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 11:05:21 UTC 2025","Wed May 28 11:05:21 UTC 2025","267","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"passed","Wed May 28 11:05:01 UTC 2025","Wed May 28 11:05:02 UTC 2025","1231","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:05:14 UTC 2025","Wed May 28 11:05:14 UTC 2025","322","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:04:56 UTC 2025","Wed May 28 11:04:56 UTC 2025","333","Automation","Packaging App","Create Crates (Plant) OLD","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:05:13 UTC 2025","Wed May 28 11:05:14 UTC 2025","280","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:05:20 UTC 2025","Wed May 28 11:05:20 UTC 2025","253","Automation","Packaging App","Regular Packaging","","","Pack Order",""
"passed","Wed May 28 11:05:00 UTC 2025","Wed May 28 11:05:01 UTC 2025","306","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:04:59 UTC 2025","Wed May 28 11:05:00 UTC 2025","377","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:05:03 UTC 2025","Wed May 28 11:05:03 UTC 2025","580","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 11:05:06 UTC 2025","Wed May 28 11:05:07 UTC 2025","277","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Substraction)",""
"failed","Wed May 28 11:05:04 UTC 2025","Wed May 28 11:05:05 UTC 2025","274","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:05:09 UTC 2025","Wed May 28 11:05:09 UTC 2025","543","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:05:10 UTC 2025","Wed May 28 11:05:11 UTC 2025","425","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product)",""
"passed","Wed May 28 11:04:55 UTC 2025","Wed May 28 11:04:55 UTC 2025","315","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product)",""
"passed","Wed May 28 11:05:11 UTC 2025","Wed May 28 11:05:12 UTC 2025","325","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:04:55 UTC 2025","Wed May 28 11:04:56 UTC 2025","330","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:05:12 UTC 2025","Wed May 28 11:05:13 UTC 2025","757","Automation","Packaging App","Create Crates (Plant) NEW","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:05:12 UTC 2025","Wed May 28 11:05:12 UTC 2025","295","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:05:20 UTC 2025","Wed May 28 11:05:21 UTC 2025","535","Automation","Packaging App","Ease Delivery","","","Orders",""
"passed","Wed May 28 11:05:08 UTC 2025","Wed May 28 11:05:09 UTC 2025","302","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Multiple product) [Static]",""
"failed","Wed May 28 11:05:00 UTC 2025","Wed May 28 11:05:00 UTC 2025","291","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:05:07 UTC 2025","Wed May 28 11:05:07 UTC 2025","343","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:05:14 UTC 2025","Wed May 28 11:05:15 UTC 2025","410","Automation","Packaging App","Profile","","","Profile",""
"passed","Wed May 28 11:05:10 UTC 2025","Wed May 28 11:05:10 UTC 2025","276","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:04:58 UTC 2025","Wed May 28 11:04:59 UTC 2025","279","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:05:15 UTC 2025","Wed May 28 11:05:20 UTC 2025","4436","Automation","Packaging App","Regular Packaging","","","Modified Customer (List API)",""
"passed","Wed May 28 11:04:55 UTC 2025","Wed May 28 11:04:55 UTC 2025","427","Automation","Packaging App","Token Generation","","","Verify",""
"passed","Wed May 28 11:05:15 UTC 2025","Wed May 28 11:05:15 UTC 2025","379","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"failed","Wed May 28 11:05:08 UTC 2025","Wed May 28 11:05:08 UTC 2025","275","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:05:11 UTC 2025","Wed May 28 11:05:11 UTC 2025","347","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) Copy",""
"passed","Wed May 28 11:05:04 UTC 2025","Wed May 28 11:05:04 UTC 2025","326","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Addition)",""
"failed","Wed May 28 11:05:05 UTC 2025","Wed May 28 11:05:05 UTC 2025","275","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:05:14 UTC 2025","Wed May 28 11:05:14 UTC 2025","267","Automation","Packaging App","Profile","","","Product Franchise Config",""
"failed","Wed May 28 11:05:08 UTC 2025","Wed May 28 11:05:08 UTC 2025","274","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:05:09 UTC 2025","Wed May 28 11:05:10 UTC 2025","580","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"passed","Wed May 28 11:04:54 UTC 2025","Wed May 28 11:04:55 UTC 2025","288","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 11:05:06 UTC 2025","Wed May 28 11:05:06 UTC 2025","546","Automation","Packaging App","Create Crates (Center) Expired","","","QR of Crates",""
