"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 11:27:13 UTC 2025","Wed May 28 11:27:14 UTC 2025","288","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:27:17 UTC 2025","Wed May 28 11:27:17 UTC 2025","295","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:27:09 UTC 2025","Wed May 28 11:27:10 UTC 2025","768","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:27:19 UTC 2025","Wed May 28 11:27:20 UTC 2025","341","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) Copy",""
"passed","Wed May 28 11:27:18 UTC 2025","Wed May 28 11:27:18 UTC 2025","277","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:27:24 UTC 2025","Wed May 28 11:27:28 UTC 2025","4372","Automation","Packaging App","Regular Packaging","","","Modified Customer (List API)",""
"passed","Wed May 28 11:27:15 UTC 2025","Wed May 28 11:27:16 UTC 2025","419","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product)",""
"failed","Wed May 28 11:27:13 UTC 2025","Wed May 28 11:27:13 UTC 2025","278","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:27:28 UTC 2025","Wed May 28 11:27:29 UTC 2025","529","Automation","Packaging App","Ease Delivery","","","Orders",""
"passed","Wed May 28 11:27:21 UTC 2025","Wed May 28 11:27:22 UTC 2025","446","Automation","Packaging App","Create Crates (Plant) NEW","","","QR of Crates",""
"passed","Wed May 28 11:27:04 UTC 2025","Wed May 28 11:27:04 UTC 2025","333","Automation","Packaging App","Create Crates (Plant) OLD","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:27:20 UTC 2025","Wed May 28 11:27:20 UTC 2025","286","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:27:16 UTC 2025","Wed May 28 11:27:16 UTC 2025","313","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 11:27:16 UTC 2025","Wed May 28 11:27:16 UTC 2025","276","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:27:11 UTC 2025","Wed May 28 11:27:12 UTC 2025","546","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 11:27:28 UTC 2025","Wed May 28 11:27:28 UTC 2025","249","Automation","Packaging App","Regular Packaging","","","Pack Order",""
"passed","Wed May 28 11:27:03 UTC 2025","Wed May 28 11:27:03 UTC 2025","284","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 11:27:20 UTC 2025","Wed May 28 11:27:20 UTC 2025","315","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:27:21 UTC 2025","Wed May 28 11:27:21 UTC 2025","742","Automation","Packaging App","Create Crates (Plant) NEW","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:27:23 UTC 2025","Wed May 28 11:27:23 UTC 2025","275","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"passed","Wed May 28 11:27:18 UTC 2025","Wed May 28 11:27:18 UTC 2025","581","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"passed","Wed May 28 11:27:04 UTC 2025","Wed May 28 11:27:04 UTC 2025","325","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 11:27:12 UTC 2025","Wed May 28 11:27:13 UTC 2025","417","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"passed","Wed May 28 11:27:09 UTC 2025","Wed May 28 11:27:09 UTC 2025","309","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:27:09 UTC 2025","Wed May 28 11:27:09 UTC 2025","286","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:27:15 UTC 2025","Wed May 28 11:27:15 UTC 2025","272","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:27:15 UTC 2025","Wed May 28 11:27:15 UTC 2025","318","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:27:13 UTC 2025","Wed May 28 11:27:13 UTC 2025","310","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 11:27:13 UTC 2025","Wed May 28 11:27:13 UTC 2025","272","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:27:19 UTC 2025","Wed May 28 11:27:19 UTC 2025","425","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product)",""
"passed","Wed May 28 11:27:23 UTC 2025","Wed May 28 11:27:24 UTC 2025","379","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"passed","Wed May 28 11:27:18 UTC 2025","Wed May 28 11:27:19 UTC 2025","320","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:27:14 UTC 2025","Wed May 28 11:27:15 UTC 2025","561","Automation","Packaging App","Create Crates (Center) Expired","","","QR of Crates",""
"passed","Wed May 28 11:27:10 UTC 2025","Wed May 28 11:27:11 UTC 2025","780","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 11:27:22 UTC 2025","Wed May 28 11:27:23 UTC 2025","261","Automation","Packaging App","Profile","","","Product Franchise Config",""
"passed","Wed May 28 11:27:14 UTC 2025","Wed May 28 11:27:14 UTC 2025","526","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:27:20 UTC 2025","Wed May 28 11:27:20 UTC 2025","321","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 11:27:16 UTC 2025","Wed May 28 11:27:17 UTC 2025","273","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:27:07 UTC 2025","Wed May 28 11:27:08 UTC 2025","272","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:27:08 UTC 2025","Wed May 28 11:27:08 UTC 2025","338","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:27:29 UTC 2025","Wed May 28 11:27:29 UTC 2025","263","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"passed","Wed May 28 11:27:12 UTC 2025","Wed May 28 11:27:12 UTC 2025","279","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Substraction)",""
"failed","Wed May 28 11:27:09 UTC 2025","Wed May 28 11:27:09 UTC 2025","293","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:27:23 UTC 2025","Wed May 28 11:27:23 UTC 2025","405","Automation","Packaging App","Profile","","","Profile",""
"passed","Wed May 28 11:27:03 UTC 2025","Wed May 28 11:27:03 UTC 2025","424","Automation","Packaging App","Token Generation","","","Verify",""
"passed","Wed May 28 11:27:22 UTC 2025","Wed May 28 11:27:22 UTC 2025","317","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:27:17 UTC 2025","Wed May 28 11:27:18 UTC 2025","552","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:27:08 UTC 2025","Wed May 28 11:27:09 UTC 2025","350","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:27:22 UTC 2025","Wed May 28 11:27:22 UTC 2025","274","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Substraction)",""
"passed","Wed May 28 11:27:08 UTC 2025","Wed May 28 11:27:08 UTC 2025","370","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product)",""
"passed","Wed May 28 11:27:04 UTC 2025","Wed May 28 11:27:07 UTC 2025","2823","Automation","Packaging App","Create Crates (Plant) OLD","","","QR of Crates",""
"passed","Wed May 28 11:27:12 UTC 2025","Wed May 28 11:27:12 UTC 2025","318","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:27:03 UTC 2025","Wed May 28 11:27:04 UTC 2025","312","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product)",""
