"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 11:20:54 UTC 2025","Wed May 28 11:20:55 UTC 2025","271","Automation","Packaging App","Profile","","","Product Franchise Config",""
"passed","Wed May 28 11:20:51 UTC 2025","Wed May 28 11:20:51 UTC 2025","341","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) Copy",""
"passed","Wed May 28 11:20:50 UTC 2025","Wed May 28 11:20:51 UTC 2025","326","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:21:00 UTC 2025","Wed May 28 11:21:00 UTC 2025","253","Automation","Packaging App","Regular Packaging","","","Pack Order",""
"passed","Wed May 28 11:20:55 UTC 2025","Wed May 28 11:20:56 UTC 2025","383","Automation","Packaging App","Closing Stock","","","Closing Stock",""
"passed","Wed May 28 11:20:47 UTC 2025","Wed May 28 11:20:47 UTC 2025","323","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 11:20:53 UTC 2025","Wed May 28 11:20:54 UTC 2025","452","Automation","Packaging App","Create Crates (Plant) NEW","","","QR of Crates",""
"passed","Wed May 28 11:20:46 UTC 2025","Wed May 28 11:20:47 UTC 2025","562","Automation","Packaging App","Create Crates (Center) Expired","","","QR of Crates",""
"failed","Wed May 28 11:20:44 UTC 2025","Wed May 28 11:20:45 UTC 2025","285","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:20:52 UTC 2025","Wed May 28 11:20:52 UTC 2025","326","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:20:56 UTC 2025","Wed May 28 11:21:00 UTC 2025","4480","Automation","Packaging App","Regular Packaging","","","Modified Customer (List API)",""
"passed","Wed May 28 11:20:40 UTC 2025","Wed May 28 11:20:40 UTC 2025","381","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 11:20:45 UTC 2025","Wed May 28 11:20:45 UTC 2025","324","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:20:41 UTC 2025","Wed May 28 11:20:41 UTC 2025","293","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 11:20:51 UTC 2025","Wed May 28 11:20:51 UTC 2025","437","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product)",""
"passed","Wed May 28 11:20:52 UTC 2025","Wed May 28 11:20:53 UTC 2025","766","Automation","Packaging App","Create Crates (Plant) NEW","","","Create Crate (Dynamic)",""
"passed","Wed May 28 11:20:40 UTC 2025","Wed May 28 11:20:41 UTC 2025","318","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 11:20:41 UTC 2025","Wed May 28 11:20:42 UTC 2025","791","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic)",""
"failed","Wed May 28 11:20:48 UTC 2025","Wed May 28 11:20:49 UTC 2025","275","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 11:20:55 UTC 2025","Wed May 28 11:20:55 UTC 2025","280","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
