"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 28 08:45:55 UTC 2025","Wed May 28 08:45:56 UTC 2025","283","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 08:45:51 UTC 2025","Wed May 28 08:45:52 UTC 2025","302","Automation","Packaging App","Create Crates (Center)","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 08:46:02 UTC 2025","Wed May 28 08:46:02 UTC 2025","431","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product)",""
"passed","Wed May 28 08:45:58 UTC 2025","Wed May 28 08:45:59 UTC 2025","432","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product)",""
"passed","Wed May 28 08:45:57 UTC 2025","Wed May 28 08:45:57 UTC 2025","550","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"failed","Wed May 28 08:45:56 UTC 2025","Wed May 28 08:45:56 UTC 2025","281","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 08:45:47 UTC 2025","Wed May 28 08:45:47 UTC 2025","299","Automation","Packaging App","Token Generation","","","OTP",""
"passed","Wed May 28 08:46:01 UTC 2025","Wed May 28 08:46:02 UTC 2025","332","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:46:06 UTC 2025","Wed May 28 08:46:06 UTC 2025","285","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"passed","Wed May 28 08:46:11 UTC 2025","Wed May 28 08:46:11 UTC 2025","257","Automation","Packaging App","Regular Packaging","","","Pack Order",""
"passed","Wed May 28 08:45:47 UTC 2025","Wed May 28 08:45:48 UTC 2025","325","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product)",""
"passed","Wed May 28 08:46:02 UTC 2025","Wed May 28 08:46:02 UTC 2025","349","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) Copy",""
"passed","Wed May 28 08:45:54 UTC 2025","Wed May 28 08:45:54 UTC 2025","566","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 08:46:01 UTC 2025","Wed May 28 08:46:01 UTC 2025","556","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
"failed","Wed May 28 08:45:51 UTC 2025","Wed May 28 08:45:51 UTC 2025","301","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 08:46:03 UTC 2025","Wed May 28 08:46:03 UTC 2025","301","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 08:45:50 UTC 2025","Wed May 28 08:45:51 UTC 2025","360","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) New QR Format",""
"passed","Wed May 28 08:45:53 UTC 2025","Wed May 28 08:45:54 UTC 2025","768","Automation","Packaging App","Create Crates (Center)","","","Create Crate (Dynamic) Copy",""
"passed","Wed May 28 08:46:05 UTC 2025","Wed May 28 08:46:05 UTC 2025","323","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:45:56 UTC 2025","Wed May 28 08:45:57 UTC 2025","438","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
